Cited_App_nbr,in_degree,prio_year_cited,Shannon_Entropy
EP19820305813,1,1981,3.4657359027997265
EP19870306442,4,1986,2.772588722239781
EP19870306548,1,1986,-0.0
EP19860303828,1,1985,2.3025850929940455
EP19870306545,2,1986,-0.0
EP19810304084,2,1980,1.0986122886681096
EP19850303766,1,1984,1.6094379124341005
EP19870307494,2,1986,1.6094379124341005
EP19870307668,15,1986,1.7917594692280547
EP19860307911,1,1985,1.6094379124341005
EP19850302830,3,1984,1.3862943611198906
EP19860101297,1,1985,0.6931471805599453
EP19870307496,1,1986,0.6931471805599453
EP19870308749,2,1986,1.6094379124341005
EP19870309674,2,1986,2.772588722239781
EP19830303837,1,1982,2.639057329615258
EP19850108610,1,1984,2.1972245773362196
EP19850307890,2,1984,-0.0
EP19850305666,1,1984,-0.0
EP19870310551,1,1986,0.6931471805599453
EP19870310834,1,1986,1.6094379124341005
EP19870310859,4,1986,0.6931471805599453
EP19870310881,1,1986,1.6094379124341005
EP19870301947,1,1986,1.7917594692280547
EP19870311081,1,1986,1.945910149055313
EP19850116284,2,1984,1.6094379124341005
EP19860307569,2,1985,1.7917594692280547
EP19860305462,1,1985,0.6931471805599453
EP19870311078,3,1986,1.3862943611198906
EP19880300522,3,1987,1.7917594692280547
EP19870311082,1,1986,1.3862943611198906
EP19860305674,5,1985,2.1972245773362196
EP19870311315,5,1986,3.044522437723422
EP19850305862,4,1984,2.1972245773362196
EP19870302118,4,1986,1.3862943611198906
EP19870302836,1,1986,0.6931471805599453
EP19850307449,1,1984,2.772588722239781
EP19880307398,1,1987,3.4339872044851463
EP19870310290,2,1986,2.3025850929940455
EP19870311079,1,1986,2.772588722239781
EP19850302882,1,1984,2.484906649788001
EP19830305791,1,1982,3.5835189384561104
EP19860309631,1,1985,1.6094379124341005
EP19850303216,3,1984,2.3978952727983707
EP19840101685,1,1983,-0.0
EP19880302486,2,1987,2.3025850929940455
EP19870302525,12,1986,2.3025850929940455
EP19880301383,1,1987,1.7917594692280547
EP19860300916,3,1985,-0.0
EP19880303157,10,1987,1.7917594692280547
EP19840305102,2,1983,1.3862943611198906
EP19870305585,4,1986,1.6094379124341005
EP19880303803,3,1987,2.639057329615258
EP19880307927,2,1987,2.1972245773362196
EP19880301897,1,1987,2.0794415416798357
EP19880303299,6,1987,2.564949357461537
EP19860309720,1,1985,2.0794415416798357
EP19860309667,6,1985,2.0794415416798357
EP19880305450,2,1987,1.7917594692280547
EP19870300630,2,1986,2.1972245773362196
EP19880305973,1,1987,2.484906649788001
EP19840200180,1,1983,-0.0
EP19840201187,1,1983,1.3862943611198906
EP19880305144,2,1987,1.3862943611198906
EP19860306070,1,1985,1.945910149055313
EP19860306071,1,1985,2.484906649788001
EP19880306388,1,1987,2.3025850929940455
EP19830107252,1,1982,1.0986122886681096
EP19830304196,4,1982,2.9444389791664403
EP19860307981,2,1985,0.6931471805599453
EP19790302706,2,1978,1.3862943611198906
EP19840306976,1,1983,1.0986122886681096
EP19880201842,1,1987,1.0986122886681096
EP19860201428,2,1985,-0.0
EP19880308126,3,1987,2.0794415416798357
EP19870200744,2,1986,2.0794415416798357
EP19880308127,4,1987,2.3978952727983707
EP19880308136,1,1987,1.0986122886681096
EP19880307351,1,1987,1.7917594692280547
EP19870301689,2,1986,1.0986122886681096
EP19870309154,1,1987,1.0986122886681096
EP19880201841,1,1987,0.6931471805599453
EP19860302020,1,1985,2.1972245773362196
EP19880309710,1,1987,1.7917594692280547
EP19880309711,3,1987,1.3862943611198906
EP19880308986,1,1987,2.3978952727983707
EP19880310183,1,1987,1.945910149055313
EP19860305671,3,1985,2.1972245773362196
EP19860305672,1,1985,1.6094379124341005
EP19860305604,1,1985,2.3025850929940455
EP19850300092,1,1984,-0.0
EP19830200047,1,1982,0.6931471805599453
EP19780101346,1,1977,-0.0
EP19860301685,1,1985,-0.0
EP19880202880,1,1987,1.0986122886681096
EP19880310000,17,1987,2.564949357461537
EP19820306680,1,1981,2.639057329615258
EP19880312043,2,1987,3.044522437723422
EP19820301199,1,1981,-0.0
EP19860108111,1,1986,0.6931471805599453
EP19880311802,1,1987,3.3322045101752034
EP19880300279,1,1987,-0.0
EP19890200001,4,1988,2.0794415416798357
EP19840308608,1,1983,1.3862943611198906
EP19870300978,1,1986,2.890371757896165
EP19870303234,2,1986,2.0794415416798357
EP19870306463,2,1986,3.4657359027997265
EP19870302100,1,1986,1.0986122886681096
EP19870306547,1,1986,1.6094379124341005
EP19880303335,1,1987,1.0986122886681096
EP19840104587,2,1983,1.0986122886681096
EP19870300190,1,1986,1.6094379124341005
EP19860305749,6,1985,2.0794415416798357
EP19870302620,55,1986,2.564949357461537
EP19780300740,1,1977,1.0986122886681096
EP19890301334,2,1988,2.564949357461537
EP19830302554,1,1982,1.7917594692280547
EP19870307012,3,1986,1.3862943611198906
EP19840307112,2,1983,1.0986122886681096
EP19840308570,1,1983,2.3025850929940455
EP19890302755,2,1988,3.091042453358315
EP19870311316,4,1986,2.3025850929940455
EP19850308444,1,1984,1.0986122886681096
EP19870302344,2,1986,1.7917594692280547
EP19850307350,1,1984,1.3862943611198906
EP19840305114,1,1983,2.3025850929940455
EP19840307829,2,1983,-0.0
EP19890302158,1,1988,1.6094379124341005
EP19880307148,4,1987,2.70805020110221
EP19890304250,2,1988,1.0986122886681096
EP19860308191,1,1985,1.0986122886681096
EP19870307885,1,1986,1.0986122886681096
EP19860301092,1,1985,0.6931471805599453
EP19890304841,1,1988,2.484906649788001
EP19890304842,1,1988,1.6094379124341005
EP19890304843,1,1988,2.1972245773362196
EP19870310427,1,1986,1.6094379124341005
EP19890305577,2,1988,2.0794415416798357
EP19860306318,2,1985,-0.0
EP19880310094,1,1987,2.0794415416798357
EP19890305563,4,1988,2.1972245773362196
EP19840306715,3,1983,1.0986122886681096
EP19870310749,1,1986,1.6094379124341005
EP19860305297,4,1985,1.7917594692280547
EP19870310951,6,1986,2.1972245773362196
EP19890303757,2,1988,2.772588722239781
EP19880300696,4,1987,0.6931471805599453
EP19890305345,3,1988,2.1972245773362196
EP19820303868,1,1981,-0.0
EP19790101516,1,1978,1.6094379124341005
EP19840301728,1,1983,2.833213344056216
EP19890306278,2,1988,2.3025850929940455
EP19820301193,1,1981,2.0794415416798357
EP19860301895,2,1985,3.526360524616162
EP19880306446,2,1987,2.772588722239781
EP19870303166,2,1986,-0.0
EP19890201621,1,1988,2.484906649788001
EP19850200325,2,1984,2.833213344056216
EP19890306057,1,1988,2.3978952727983707
EP19870302832,1,1986,0.6931471805599453
EP19890307341,2,1988,2.3025850929940455
EP19860308992,1,1985,2.3978952727983707
EP19830300085,1,1982,-0.0
EP19880311252,4,1987,1.6094379124341005
EP19840302079,1,1983,-0.0
EP19850304188,1,1984,-0.0
EP19850305772,1,1984,-0.0
EP19850305773,1,1984,-0.0
EP19860306081,1,1985,-0.0
EP19880307910,16,1987,2.995732273553991
EP19890307920,2,1988,3.367295829986473
EP19840301670,1,1983,1.0986122886681096
EP19840303098,1,1983,2.0794415416798357
EP19850306063,1,1984,2.890371757896165
EP19860301572,1,1985,2.3978952727983707
EP19870311077,2,1986,2.890371757896165
EP19870310289,1,1986,1.7917594692280547
EP19890308064,1,1988,2.0794415416798357
EP19850307352,2,1984,1.3862943611198906
EP19870309315,1,1986,-0.0
EP19890309920,2,1988,2.1972245773362196
EP19850304830,1,1984,1.7917594692280547
EP19820110328,1,1981,0.6931471805599453
EP19840810587,1,1983,-0.0
EP19850307346,1,1984,1.945910149055313
EP19890310406,1,1988,2.3025850929940455
EP19860300143,1,1985,0.6931471805599453
EP19890309172,1,1988,0.6931471805599453
EP19870305656,1,1986,-0.0
EP19860302105,1,1985,-0.0
EP19890311982,1,1988,-0.0
EP19800300940,8,1979,1.7917594692280547
EP19890312986,2,1988,2.564949357461537
EP19890313334,1,1988,2.1972245773362196
EP19890302740,1,1988,2.564949357461537
EP19900101339,1,1989,2.70805020110221
EP19840308360,2,1983,2.3978952727983707
EP19880305337,1,1987,2.1972245773362196
EP19870202560,1,1986,0.6931471805599453
EP19870301336,3,1986,1.6094379124341005
EP19880303432,1,1987,2.639057329615258
EP19890307788,4,1988,2.639057329615258
EP19850810138,1,1984,0.6931471805599453
EP19900200499,1,1989,2.484906649788001
EP19880307142,5,1987,1.7917594692280547
EP19900301703,2,1989,2.1972245773362196
EP19890310496,1,1988,-0.0
EP19870300879,1,1986,1.3862943611198906
EP19900302615,1,1989,1.0986122886681096
EP19870310530,2,1986,1.6094379124341005
EP19890304820,2,1988,1.0986122886681096
